"Year","Week","Brand","Group","KPI","Unit","Actual Value","Notes","Entered By"
"2026","1","MUSWIM","Creative","Jangkauan Instagram","count","12855","","zanevadwib@gmail.com"
"2026","1","MUSWIM","Creative","Upload Story","count","33","","zanevadwib@gmail.com"
"2026","1","MUSWIM","Creative","Feed Upload ","count","3","","zanevadwib@gmail.com"
"2026","1","MUSWIM","Creative","Viewers Reels ","count","8.089","","zanevadwib@gmail.com"
"2026","1","OBERBE","Creative","Jangkauan Instagram","count","8000","","zanevadwib@gmail.com"
"2026","1","OBERBE","Creative","Viewers Reels ","count","2386","","zanevadwib@gmail.com"
"2026","1","OBERBE","Creative","Upload Reels","count","1","","zanevadwib@gmail.com"
"2026","1","BE.SYAR'I","Creative","Jangkauan Instagram","count","68040","","zanevadwib@gmail.com"
"2026","1","BE.SYAR'I","Creative","Upload Story","count","30","","zanevadwib@gmail.com"
"2026","1","BE.SYAR'I","Creative","Viewers Reels ","count","2344","","zanevadwib@gmail.com"
"2026","1","BE.SYAR'I","Creative","Total viewer tiktok","count","2137","","zanevadwib@gmail.com"
"2026","1","BE.SYAR'I","Creative","PHOTOSHOOT/NGONTEN","count","0","","zanevadwib@gmail.com"
"2026","1","ZANEVA","Creative","Konten Signature (konten viral,konten high viewers bulan sebelumnya)","count","1","","zanevadwib@gmail.com"
"2026","1","ZANEVA","Creative","Total viewer tiktok","count","2410","","zanevadwib@gmail.com"
"2026","1","ZANEVA","Marketing","Kerjasama Bundling Produk","count","1","","faniaans.zaneva@gmail.com"
"2026","1","ZANEVA","Marketing","Kontribusi Omset PR","Rp","1401000","","faniaans.zaneva@gmail.com"
"2026","1","ZANEVA","Marketing","Kerjasama Event & Komunitas","count","1","Play pound bundling","faniaans.zaneva@gmail.com"
"2026","1","MUSWIM","Creative","Upload Reels","count","7","","zanevadwib@gmail.com"
"2026","1","ZANEVA","Marketing","KOL/Influencer aktif","count","0","Belum mulai, masih persiapan rekap data untuk meeting tahunan","faniaans.zaneva@gmail.com"
"2026","1","ZANEVA","Creative","Follower Instagram","count","-45","","zanevadwib@gmail.com"
"2026","1","ZANEVA","Creative","Upload Story","count","39","","zanevadwib@gmail.com"
"2026","1","ZANEVA","Creative","Jangkauan Instagram","count","65405","","zanevadwib@gmail.com"
"2026","1","MUSWIM","Creative","Upload Tiktok","count","7","","zanevadwib@gmail.com"
"2026","1","OBERBE","Creative","Upload Tiktok","count","0","","zanevadwib@gmail.com"
"2026","1","BE.SYAR'I","Creative","Upload Tiktok","count","5","","zanevadwib@gmail.com"
"2026","1","BE.SYAR'I","Creative","Upload Reels","count","5","","zanevadwib@gmail.com"
"2026","1","BE.SYAR'I","Creative","Feed Upload ","count","2","","zanevadwib@gmail.com"
"2026","1","OBERBE","Creative","Feed Upload ","count","2","","zanevadwib@gmail.com"
"2026","1","OBERBE","Creative","Upload Story","count","27","","zanevadwib@gmail.com"
"2026","1","ZANEVA","Creative","Upload konten affiliate","count","2","","zanevadwib@gmail.com"
"2026","1","ZANEVA","Creative","PHOTOSHOOT/NGONTEN","count","1","","zanevadwib@gmail.com"
"2026","1","ZANEVA","Creative","Feed Upload ","count","5","","zanevadwib@gmail.com"
"2026","1","ZANEVA","Creative","Upload Tiktok","count","7","","zanevadwib@gmail.com"
"2026","1","ZANEVA","Creative","Upload Reels","count","7","","zanevadwib@gmail.com"
"2026","1","ZANEVA","Creative","Viewers Reels ","count","82.12","","zanevadwib@gmail.com"
"2026","1","ZANEVA","","","","0","","trinda.zaneva@gmail.com"
"2026","1","ZANEVA","RnD","SKU Release","count","0","","trinda.zaneva@gmail.com"
"2026","1","ZANEVA","","","","20000","","faniaans.zaneva@gmail.com"
"2026","1","ZANEVA","","","","2","","faniaans.zaneva@gmail.com"
"2026","1","BE.SYAR'I","Marketing","Omset","Rp","6611226","","kaniazaneva@gmail.com"
