"Year","Month","Brand","Group","KPI","Unit","Target Value"
"2026","Jan","ZANEVA","Creative","Upload konten affiliate","count","1300"
"2026","Jan","MUSWIM","","","","1300"
"2026","Jan","BE.SYAR'I","","","","1300"
"2026","Jan","OBERBE","","","","1300"
"2026","Jan","ZANEVA","","","","1300"
"2026","Jan","ZANEVA","Marketing","Persentase Iklan","%","13.6"
"2026","Jan","ZANEVA","Marketing","Kontribusi Omset PR","Rp","15"
"2026","Jan","OBERBE","Creative","Viewers Reels ","count","48957"
"2026","Jan","OBERBE","Creative","Upload Reels","count","30"
"2026","Jan","OBERBE","Creative","Upload Tiktok","count","30"
"2026","Jan","OBERBE","Creative","Feed Upload ","count","12"
"2026","Jan","OBERBE","Creative","Follower Instagram","count","109"
"2026","Jan","OBERBE","Creative","Upload Story","count","150"
"2026","Jan","OBERBE","Creative","Total viewer tiktok","count","9.033"
"2026","Jan","OBERBE","Creative","Jangkauan Instagram","count","57909"
"2026","Jan","OBERBE","Creative","PHOTOSHOOT/NGONTEN","count","2"
"2026","Jan","OBERBE","Creative","Konten Signature (konten viral,konten high viewers bulan sebelumnya)","count","9"
"2026","Jan","BE.SYAR'I","Creative","Viewers Reels ","count","93496"
"2026","Jan","BE.SYAR'I","Creative","Upload Reels","count","30"
"2026","Jan","BE.SYAR'I","Creative","Upload Tiktok","count","30"
"2026","Jan","BE.SYAR'I","Creative","Feed Upload ","count","12"
"2026","Jan","BE.SYAR'I","Creative","Follower Instagram","count","294"
"2026","Jan","BE.SYAR'I","Creative","Upload Story","count","150"
"2026","Jan","BE.SYAR'I","Creative","Total viewer tiktok","count","51165"
"2026","Jan","BE.SYAR'I","Creative","Jangkauan Instagram","count","96629"
"2026","Jan","BE.SYAR'I","Creative","PHOTOSHOOT/NGONTEN","count","2"
"2026","Jan","BE.SYAR'I","Creative","Konten Signature (konten viral,konten high viewers bulan sebelumnya)","count","9"
"2026","Jan","MUSWIM","Creative","Konten Signature (konten viral,konten high viewers bulan sebelumnya)","count","9"
"2026","Jan","MUSWIM","Creative","PHOTOSHOOT/NGONTEN","count","2"
"2026","Jan","MUSWIM","Creative","Jangkauan Instagram","count","38586"
"2026","Jan","MUSWIM","Creative","Total viewer tiktok","count","16507"
"2026","Jan","MUSWIM","Creative","Upload Story","count","150"
"2026","Jan","MUSWIM","Creative","Follower Instagram","count","77"
"2026","Jan","MUSWIM","Creative","Feed Upload ","count","12"
"2026","Jan","MUSWIM","Creative","Upload Tiktok","count","30"
"2026","Jan","MUSWIM","Creative","Upload Reels","count","30"
"2026","Jan","MUSWIM","Creative","Viewers Reels ","count","35028"
"2026","Jan","ZANEVA","Creative","Konten Signature (konten viral,konten high viewers bulan sebelumnya)","count","9"
"2026","Jan","ZANEVA","Creative","PHOTOSHOOT/NGONTEN","count","2"
"2026","Jan","ZANEVA","Creative","Jangkauan Instagram","count","639.579"
"2026","Jan","ZANEVA","Creative","Total viewer tiktok","count","62.944"
"2026","Jan","ZANEVA","Creative","Upload Story","count","150"
"2026","Jan","ZANEVA","Creative","Follower Instagram","count","745"
"2026","Jan","ZANEVA","Creative","Feed Upload ","count","12"
"2026","Jan","ZANEVA","Creative","Upload Tiktok","count","30"
"2026","Jan","ZANEVA","Creative","Upload Reels","count","30"
"2026","Jan","ZANEVA","Creative","Viewers Reels ","count","166.667"
"2026","Jan","ZANEVA","","","","2250"
"2026","Jan","ZANEVA","RnD","SKU Release","count","10"
"2026","Jan","ZANEVA","","","","170000"
"2026","Jan","ZANEVA","","","","12"
"2026","Jan","BE.SYAR'I","Marketing","Omset","Rp","16186667"
"2026","Jan","BE.SYAR'I","Marketing","Biaya Marketing","Rp","3237333"
"2026","Jan","OBERBE","Marketing","Omset","Rp","21795362"
"2026","Jan","OBERBE","Marketing","Biaya Marketing","Rp","3269304"
"2026","Jan","MUSWIM","Marketing","Omset","Rp","10737867"
"2026","Jan","MUSWIM","Marketing","Biaya Marketing","Rp","1610680"
"2026","Jan","ZANEVA","Marketing","Biaya Marketing","Rp","119138521"
